id,mfg,name,type
"1","NZXT","Kraken x61","liquid"
"2","NZXT","Kraken x41","liquid"
"3","NZXT","Kraken x42","liquid"
"4","NZXT","Kraken x52","liquid"
"5","Corsair","H115i","liquid"
"6","Corsair","H110i","liquid"
"7","Corsair","H100i v2","liquid"
"8","Cooler Master","MasterAir Maker 8","air"
"9","Cooler Master","Hyper 212 EVO","air"
"10","Cooler Master","Hyper D92","air"
"11","Cooler Master","Hyper 612 Ver.2","air"
"12","Cooler Master","GeminII M4","air"
"13","Cooler Master","GeminII S524","air"
"14","Noctua","NH-D15","air"
"15","Noctua","NH-D15 SE-AM4","air"
"16","Noctua","NH-U14S","air"
"17","Noctua","NH-U12S","air"
"18","Noctua","NH-U12S SE-AM4","air"
"19","Noctua","NH-U9S","air"
"20","Noctua","NH-L9x65","air"
"21","Noctua","NH-L9x65 SE-AM4","air"
