id,mfg,name,form_factor,chipset
"1","Asus","X99-Deluxe II","ATX","LGA2011-v3"
"2","Asus","ROG Maximus IX Hero","ATX","LGA1151"
"3","Asus","ROG Strix Z270E","ATX","LGA1151"
"4","Asus","Crosshair VI Hero","ATX","AM4"
"5","Asus","970 Pro Gaming/Aura","ATX","AM3+"
"6","Asus","ROG Maximum VIII Gene","MATX","LGA1151"
"7","Asus","ROG Maximum VIIII Impact","mITX","LGA1151"
"8","MSI","X370 XPower Gaming Titanium","ATX","AM4"
"9","MSI","X370 Gaming Pro Carbon","ATX","AM4"
"10","MSI","Z270 Gaming M7","ATX","LGA1151"
"11","MSI","X99A Gaming Pro Carbon","ATX","LGA2011-v3"
"12","MSI","Z270M Mortar","MATX","LGA1151"
"13","MSI","B350M Gaming Pro","MATX","AM4"
"14","MSI","Z270i Gaming Pro Carbon","mITX","LGA1151"
